id,species,site,red.mean,red.sd,red.median,green.mean,green.sd,green.median,blue.mean,blue.sd,blue.median
GL_3376,flavescens,Cheops Mountain,206.95,17.74,211,188.38,19.39,193,148.74,25.15,153
GL_3378,flavescens,Cheops Mountain,158.64,40.88,156,147.8,39.5,144,97.78,39.18,86
GL_3380,flavescens,Cheops Mountain,218.83,31.82,230,204.37,35.33,216,141.73,49.65,153
GL_3388,flavescens,Cheops Mountain,173.61,22.72,175,163.51,21.7,165,112.93,25.11,114
GL_3389,flavescens,Cheops Mountain,168.68,37.91,174,158.35,38.26,164,109.27,39.2,111
GL_3390,flavescens,Cheops Mountain,179.83,34.99,186,168.25,37.05,176,112.45,47.68,116
GL_3391,flavescens,Cheops Mountain,194.1,24.38,195,174.79,25.77,173,128.88,32.85,127
GL_3394,flavescens,Cheops Mountain,185.87,26.72,190,143.06,30.57,146,100.31,30.12,104
GL_3395,flavescens,Cheops Mountain,182.8,35.3,192,170.7,35.54,178,106.4,44.4,107
GL_3396,flavescens,Cheops Mountain,179.65,30.1,187,169.36,29.43,177,124.37,30.48,127
GL_3397,flavescens,Cheops Mountain,176.98,13.14,177,169.11,13.13,169,128.26,21.92,129
GL_3401,flavescens,Cheops Mountain,180.49,22.9,181,162.68,26.64,164,128.01,32.09,129
GL_3405,flavescens,Cheops Mountain,190.59,17.31,191,126.83,23.41,123,98.42,21.84,97
GL_3406,flavescens,Cheops Mountain,216.84,13.89,220,210.79,12.12,214,118.07,24.22,118
GL_3408,flavescens,Cheops Mountain,185.01,35.93,187,172.2,35.33,172,98.93,44.96,88
GL_3412,flavescens,Cheops Mountain,205.94,34,210,154.47,46.6,148,108.49,47.85,92
GL_3413,flavescens,Cheops Mountain,176.15,33.26,168,165.79,32.91,159,96.53,41.39,87
GL_3416,flavescens,Cheops Mountain,185.9,39.56,187,169.68,38.93,169,101.53,47.96,89
RL_5530,formosa,Robert's Lake,133.09,26.11,134,86.38,22.33,86,78.94,22.06,79
RL_1011,formosa,Robert's Lake,90.6,17.34,90,57.07,15.73,55,51.24,19.74,49
RL_2043,formosa,Robert's Lake,157.64,22.84,162,108.85,24.53,108,98.78,23.24,98
RL_4058,formosa,Robert's Lake,140.16,33.01,145,90.62,27.4,90,80.11,32.74,75
RL_5534,formosa,Robert's Lake,132.85,17.98,131,83.15,16.16,80,77.23,18.79,74
RL_3131,formosa,Robert's Lake,114.89,16.48,115,68.66,12.81,69,54.95,11.66,55
RL_1407,formosa,Robert's Lake,109.7,29.78,105,72.51,24.53,69,59.01,25.13,54
RL_1941,formosa,Robert's Lake,153.45,21.59,154,95.54,18.83,95,87,19.27,87
RL_2616,formosa,Robert's Lake,170.81,31.52,167,109.03,35.47,100,86.08,34.1,77
RL_3340,formosa,Robert's Lake,114.78,19.03,113,66.15,11.78,66,52.34,11.41,53
